temperature,city,pressure,date
293.95,London,1011,2024-06-17 12:20:10
295.23,Paris,1013,2024-06-17 12:20:09
296.64,Berlin,1002,2024-06-17 12:20:07
293.95,London,1011,2024-06-17 12:19:11
295.23,Paris,1013,2024-06-17 12:19:10
296.76,Berlin,1002,2024-06-17 12:19:08
293.95,London,1011,2024-06-17 12:18:10
295.23,Paris,1013,2024-06-17 12:18:09
296.76,Berlin,1002,2024-06-17 12:18:08
293.95,London,1011,2024-06-17 12:17:11
295.23,Paris,1013,2024-06-17 12:17:10
296.64,Berlin,1002,2024-06-17 12:17:09
293.95,London,1011,2024-06-17 12:16:17
295.23,Paris,1013,2024-06-17 12:16:15
296.64,Berlin,1002,2024-06-17 12:16:14
293.95,London,1011,2024-06-17 12:15:19
295.23,Paris,1013,2024-06-17 12:15:18
296.64,Berlin,1002,2024-06-17 12:15:16
293.85,London,1011,2024-06-17 12:14:22
295.12,Paris,1013,2024-06-17 12:14:21
296.69,Berlin,1002,2024-06-17 12:14:19
293.85,London,1011,2024-06-17 12:13:25
295.12,Paris,1013,2024-06-17 12:13:24
296.69,Berlin,1002,2024-06-17 12:13:22
293.85,London,1011,2024-06-17 12:12:20
295.12,Paris,1013,2024-06-17 12:12:19
296.61,Berlin,1002,2024-06-17 12:12:17
293.85,London,1011,2024-06-17 12:11:09
295.12,Paris,1013,2024-06-17 12:11:08
296.61,Berlin,1002,2024-06-17 12:11:07
293.85,London,1011,2024-06-17 12:10:12
295.12,Paris,1013,2024-06-17 12:10:11
296.61,Berlin,1002,2024-06-17 12:10:10
293.85,London,1011,2024-06-17 12:09:12
295.12,Paris,1013,2024-06-17 12:09:11
296.61,Berlin,1002,2024-06-17 12:09:10
293.85,London,1011,2024-06-17 12:08:29
295.12,Paris,1013,2024-06-17 12:08:28
296.61,Berlin,1002,2024-06-17 12:08:27
293.54,London,1011,2024-06-17 11:34:09
294.4,Paris,1013,2024-06-17 11:34:08
296.65,Berlin,1001,2024-06-17 11:34:07
293.54,London,1011,2024-06-17 11:33:07
294.4,Paris,1013,2024-06-17 11:33:06
296.65,Berlin,1001,2024-06-17 11:33:05
292.81,London,1011,2024-06-17 11:32:08
294.23,Paris,1013,2024-06-17 11:32:07
296.65,Berlin,1001,2024-06-17 11:32:06
292.81,London,1011,2024-06-17 11:31:17
294.23,Paris,1013,2024-06-17 11:31:16
296.65,Berlin,1001,2024-06-17 11:31:14
292.81,London,1011,2024-06-17 11:30:25
294.23,Paris,1013,2024-06-17 11:30:24
296.83,Berlin,1001,2024-06-17 11:30:22
292.81,London,1011,2024-06-17 11:29:41
294.23,Paris,1013,2024-06-17 11:29:40
296.65,Berlin,1001,2024-06-17 11:29:39
296.36,Berlin,1002,2024-06-17 11:07:37
296.2,Berlin,1002,2024-06-17 11:06:22
296.2,Berlin,1002,2024-06-17 11:05:30
296.2,Berlin,1002,2024-06-17 11:04:41
296.2,Berlin,1002,2024-06-17 11:03:34
296.2,Berlin,1002,2024-06-17 11:02:40
295.64,Berlin,1002,2024-06-17 10:30:05
295.55,Berlin,1002,2024-06-17 10:29:05
295.55,Berlin,1002,2024-06-17 10:28:04
295.55,Berlin,1002,2024-06-17 10:27:05
295.55,Berlin,1002,2024-06-17 10:26:20
295.1,Berlin,1002,2024-06-17 10:25:09
295.1,Berlin,1002,2024-06-17 10:24:05
295.1,Berlin,1002,2024-06-17 10:23:06
295.1,Berlin,1002,2024-06-17 10:22:06
295.1,Berlin,1002,2024-06-17 10:21:05
295.1,Berlin,1002,2024-06-17 10:20:05
295.1,Berlin,1002,2024-06-17 10:19:08
294.9,Berlin,1002,2024-06-17 10:18:08
294.87,Berlin,1002,2024-06-17 10:17:06
294.87,Berlin,1002,2024-06-17 10:16:09
294.87,Berlin,1002,2024-06-17 10:15:05
294.87,Berlin,1002,2024-06-17 10:14:08
294.9,Berlin,1002,2024-06-17 10:13:06
294.87,Berlin,1002,2024-06-17 10:12:10
